item_id,name,image_url,calories,fat,saturatedFat,transFat,cholesterol,sodium,carbohydrates,fiber,sugar,proteins,is_dummy
61c8ad32-0ff5-4af3-a1e1-454d3020355f,Value Sprite,https://cdn.sanity.io/images/czqk28jt/prod_bk_us/d7c3aa1ccded1680176441dae252a39f610264c4-1333x1333.png,180,0,0,0,0,50,49,0,49,0,False
3fb7375a-ffad-45fd-921b-b3a7040720b4,4 Pc. Cheesy Tots,https://cdn.sanity.io/images/czqk28jt/prod_bk_us/c21d545ea39de717f48471e27de80ea6bb1f6f8d-1333x1333.png,170,7,2,0,5,515,21,1,1,4,False
14ea109a-7096-48fb-b0cb-f1e0fed6e780,Hamburger,https://cdn.sanity.io/images/czqk28jt/staging_bk_us/28f37c5a4018fc3c167a119948c36e21d08d6a31-1333x1333.png,236.79,9.89,4,0,30,268.86,26.37,0.83,5.02,12.85,False
c9ae62f6-8141-4c4b-a365-4d86c70cdb5e,Hamburger,https://cdn.sanity.io/images/czqk28jt/staging_bk_us/28f37c5a4018fc3c167a119948c36e21d08d6a31-1333x1333.png,236.79,9.89,4,0,30,268.86,26.37,0.83,5.02,12.85,False
mkHgKoKEtUqKZKIW9hMiIK,Small BK Café,https://cdn.sanity.io/images/czqk28jt/prod_bk_us/2d45661a748b63dd3af82e06f5395be5fc4727c6-1333x1333.png,0,0,0,0,0,0,0,0,0,0,False
b8d37e4f-ae6e-42e9-8182-fd7ee9493855,Cheeseburger,https://cdn.sanity.io/images/czqk28jt/staging_bk_us/7fa2949dd40c2c22d0b6d194e5cbb26d733993f9-1333x1333.png,236.79,9.39,4,0,30,278.86,27.37,0.83,5.02,12.85,False
070eb15e-aec4-4b56-ad9b-2f7a6ac30a92,Impossible™ Whopper,https://cdn.sanity.io/images/czqk28jt/prod_bk_us/c927e5255e087cf39e2f347acc425cb61ae5c5f0-1333x1333.png,215.215,1.705,1,0,0,363.475,46.92,0.975,8.63,6.5,False
f5811437-b952-43be-b1e1-1c9d13be158f,Classic Oreo® Shake,https://cdn.sanity.io/images/czqk28jt/prod_bk_us/e1cd03e3a1e0cf660f3da84876563bfc03b880d2-1333x1333.png,640,17,10,0.5,55,460,109,1,86,13,False
c764f565-a866-454a-9dd8-507d2da1f717,Chicken Jr.,https://cdn.sanity.io/images/czqk28jt/staging_bk_us/a68df45907ce0e0d1a28a11e81512d11e2972893-1333x1333.png,280.977,9.727,2,0,25,578.747,37.95,1.872,4.82,12.91,False
657fab87-4539-4003-965f-3a6925ebf378, Value Sprite Zero,https://cdn.sanity.io/images/czqk28jt/prod_bk_us/b5e3e4aee41f9dfa1a24876dd61c2e2ccc506fb4-1333x1333.png,5,0,0,0,0,50,1,0,0,0,False
0049c665-e99e-401e-bb8e-740f1fe99f3a,Whopper Jr.,https://cdn.sanity.io/images/czqk28jt/prod_bk_us/18a1f1e43d532819f6299006c79d19aed031af56-1333x1333.png,129.257,1.352,-0.5,0,-7.5,226.737,26.955,1.652,4.98,5.75,False
1f7aefd9-5b29-4127-8159-a76077b5d872,Double Whopper,https://cdn.sanity.io/images/czqk28jt/prod_bk_us/7acdb672ff1cf9256583e63571af8edef44f4e6d-1333x1333.png,735.215,40.705,17,0.5,135,653.475,46.92,1.975,8.63,51.5,False
95eb0a67-9e69-4849-9bc6-6715b3790e9a,Impossible™ Whopper,https://cdn.sanity.io/images/czqk28jt/prod_bk_us/c927e5255e087cf39e2f347acc425cb61ae5c5f0-1333x1333.png,215.215,1.705,1,0,0,363.475,46.92,0.975,8.63,6.5,False
lXyLHRfR3ruSxzsSyaqSb6,Value Barqs Root Beer,https://cdn.sanity.io/images/czqk28jt/prod_bk_us/aac64c3af0d12bcbe9767ac75d8d30948fb99abb-1333x1333.png,210,0,0,0,0,50,58,0,58,0,False
12906801-fe4e-479b-9f4e-58e26cdd83cf,Bacon Cheeseburger,https://cdn.sanity.io/images/czqk28jt/staging_bk_us/1ccb3060b7d773f0b25f5b7a2a9286b4cbe0058e-1333x1333.png,246.79,9.056,3.666,0,28.333,272.193,27.37,0.83,5.02,12.516,False
